id,farmstoreitems,quantity,parts,storeid
1,1,1000,10,3
2,2,1000,10,3
3,3,1000,10,3
4,4,1000,10,3
5,5,1000,32,3
6,6,1000,32,3
7,7,1000,20,3
8,8,1000,20,3
9,9,1000,20,3
10,10,1000,20,3
11,11,1000,14,3
12,12,1000,60,3
13,13,1000,60,3
14,14,1000,60,3
15,15,1000,20,3
16,16,1000,20,3
17,17,1000,20,3
18,18,1000,20,3
19,19,1000,20,3
20,20,1000,20,3
21,21,1000,20,3
22,22,1000,20,3
23,23,1000,48,3
24,24,1000,48,3
25,25,1000,16,3
26,26,1000,16,3
27,27,1000,8,3
28,28,1000,8,3
29,29,1000,16,3
30,30,1000,66,3
31,31,1000,66,3
32,32,1000,30,3
33,33,1000,30,3
34,34,1000,80,3
35,35,1000,80,3
36,36,1000,56,3
37,37,1000,30,3
38,38,1000,30,3
39,39,1000,30,3
40,40,1000,60,3
41,41,1000,72,3
42,42,1000,72,3
43,43,1000,100,3
44,44,1000,100,3
45,45,1000,66,3
46,46,1000,10,3
47,47,1000,1,3
48,48,1000,1,3
49,49,1000,1,3
50,50,1000,1,3
51,51,1000,1,3
52,52,1000,1,3
53,53,1000,1,3
54,54,1000,1,3
55,55,1000,1,3
56,56,1000,1,3
57,57,1000,1,3
58,58,1000,1,3
59,59,1000,1,3
60,60,1000,1,3
61,61,1000,1,3
62,62,1000,1,3
63,63,1000,1,3
64,64,1000,1,3
65,65,1000,1,3
66,66,1000,1,3
67,67,1000,1,3
68,68,1000,1,3
69,69,1000,1,3
70,70,1000,1,3
71,71,1000,1,3
72,72,1000,1,3
73,73,1000,12,3
74,74,1000,1,3
75,75,1000,1,3
76,76,1000,1,3
77,77,1000,32,3
78,78,1000,32,3
79,79,1000,60,3
80,80,1000,60,3
81,81,1000,60,3
82,82,1000,18,3
83,83,1000,18,3
84,84,1000,18,3
85,85,1000,50,3
86,86,1000,20,3
87,87,1000,24,3
88,88,1000,24,3
89,89,1000,24,3
90,90,1000,30,3
91,91,1000,30,3
92,92,1000,30,3
93,93,1000,12,3
94,94,1000,8,3
95,95,1000,10,3
96,96,1000,10,3
97,97,1000,5,3
98,98,1000,5,3
99,99,1000,5,3
100,100,1000,5,3
101,101,1000,5,3
102,102,1000,20,3
103,103,1000,20,3
104,104,1000,20,3
105,105,1000,20,3
106,106,1000,20,3
107,107,1000,10,3
108,108,1000,25,3
109,109,1000,25,3
110,110,1000,30,3
111,111,1000,30,3
112,112,1000,20,3
113,113,1000,20,3
114,114,1000,20,3
115,115,1000,20,3
116,116,1000,20,3
117,117,1000,20,3
118,118,1000,20,3
119,119,1000,20,3
120,120,1000,20,3
121,121,1000,10,3
122,122,1000,20,3
123,123,1000,50,3
124,124,1000,20,3
125,125,1000,20,3
126,126,1000,20,3
127,127,1000,20,3
128,128,1000,10,3
129,129,1000,20,3
130,130,1000,20,3
131,131,1000,20,3
132,132,1000,100,3
133,133,1000,20,3
134,134,1000,25,3
135,135,1000,25,3
136,136,1000,10,3
137,137,1000,10,3
138,138,1000,20,3
139,139,1000,20,3
140,140,1000,20,3
141,141,1000,50,3
142,142,1000,10,3
143,143,1000,12,3
144,144,1000,8,3
145,145,1000,8,3
146,146,1000,10,3
147,147,1000,12,3
148,148,1000,10,3
149,149,1000,10,3
150,150,1000,10,3
151,151,1000,10,3
152,152,1000,10,3
153,153,1000,10,3
154,154,1000,10,3
155,155,1000,10,3
156,156,1000,10,3
157,157,1000,10,3
158,158,1000,10,3
159,159,1000,20,3
160,160,1000,50,3
161,161,1000,50,3
162,162,1000,200,3
163,163,1000,10,3
164,164,1000,10,3
165,165,1000,10,3
166,166,1000,10,3
167,167,1000,10,3
168,168,1000,10,3
