id,name,category_id
1,Прокладки Белла Blue 10шт.,4
2,Прокладки Белла Pink 10шт.,4
3,Прокладки Белла Green 10шт.,4
4,Прокладки Белла Violet 10шт.,4
5,Прокладки Белла Blue 32шт.,4
6,Прокладки Белла Violet 32шт.,4
7,Прокладки Белла Pink 20шт.,4
8,Прокладки Белла Violet 20шт.,4
9,Прокладки Белла Blue Perfecto 20шт.,4
10,Прокладки Белла Green 20шт.,4
11,Прокладки Белла Ночь 14шт.,4
12,Прокладки Белла Sensitive 60шт.,4
13,Прокладки Белла Aroma 60шт.,4
14,Прокладки Белла Relax 60шт.,4
15,Прокладки Белла Soft 20шт.,4
16,Прокладки Белла Eleg Sensitive 20шт.,4
17,Прокладки Белла Panty Sensitive 20шт.,4
18,Прокладки Белла Aroma Relax 20шт.,4
19,Прокладки Белла Aroma Fresh 20шт.,4
20,Прокладки Белла Aroma Energy 20шт.,4
21,Прокладки Котекс ежедневные 20шт.,4
22,Прокладки Котекс Deo 20шт.,4
23,Прокладки Котекс Active Deo 48шт.,4
24,Прокладки Котекс Active 48шт.,4
25,Прокладки Котекс Active 16шт.,4
26,Прокладки Котекс Active Deo 16шт.,4
27,Тампоны Ob 8шт.,4
28,Тампоны Ob мини 8шт.,4
29,Тампоны Ob Extra 16шт.,4
30,Хаггис 4 мальчик 66шт.,4
31,Хаггис 4 девочка 66шт.,4
32,Подгузники Seni 4 30шт.,4
33,Пеленки Seni 90x60 30шт.,4
34,Подгузники Хаггис 3 девочка 80шт.,4
35,Подгузники Хаггис 3 мальчик 80шт.,4
36,Подгузники Хаггис 5 девочка 56шт.,4
37,Подгузники Seni 3 30шт.,4
38,Подгузники Seni 2 30шт.,4
39,Подгузники Seni 1 30шт.,4
40,Пеленки Икена 60x60,4
41,Салфетки Vok детские 72шт.,4
42,Салфетки Vok взрослые 72шт.,4
43,Ватные диски Белла 100шт.,4
44,Ватные диски Белла Алоэ 100шт.,4
45,Прокладки Bliss 66шт.,4
46,Ушные фитосвечи,4
47,Тонометр Адьютор,4
48,Грелка 3л.,4
49,Бинт эластичный 8x5,4
50,Бинт эластичный 8x5,4
51,Бинт эластичный 100x5,4
52,Бинт эластичный 120x5,4
53,Бинт эластичный 80x2,4
54,Бинт эластичный 1.5x60,4
55,Бинт эластичный 3x80,4
56,Бинт эластичный 0.6x80,4
57,Бинт эластичный 1.5x100,4
58,Бинт эластичный 1x80,4
59,Бинт эластичный 1.5x120,4
60,Бинт эластичный 3x100,4
61,Ножницы Baby Nova,4
62,Соска бусинка,4
63,Соска Camera Мод,4
64,Соска Camera Мод,4
65,Бутылка Camera Мод,4
66,Бутылка Camera Мод,4
67,Бутылка Camera Мод,4
68,Бутылка Baby Nova Мод,4
69,Бутылка Baby Land Мод,4
70,Бутылка Baby Land Мод,4
71,Бутылка Baby Land мод. 384,4
72,Крем Джонсонс Беби крем 50гр.,4
73,Тайлол Хот М2,4
74,Ножницы Camera,4
75,Мыло Джонсонс Беби с медом,4
76,Ватные палочки Bella 100шт.,4
77,Протефикс 32шт.,4
78,Протефикс 32шт.,4
79,Тонзилотрен 60шт.,4
80,Тонзилотрен 60шт.,4
81,Тонзилотрен 60шт.,4
82,Граммидин с анестетиком 18шт.,4
83,Граммидин детский 18шт.,4
84,Граммидин нео 18шт.,4
85,Синупрет 50шт.,4
86,Трахисан 20шт.,4
87,Стрепсилс 24шт.,4
88,Стрепсилс лимон бузина 24шт.,4
89,Стрепсилс лимон бузина 24шт.,4
90,Анзибел 30шт.,4
91,Анзибел мед лимон 30шт.,4
92,Анзибел мед лимон 30шт.,4
93,Антигриппин китайский дейсткий 12шт.,4
94,Фервекс малина 8шт.,4
95,Антигриппин ромашка 10шт.,4
96,Колдрекс хотрем лимон 10шт.,4
97,Инсти 5шт.,4
98,Инсти 5шт.,4
99,Инсти лимон 5шт.,4
100,Инсти лимон детский 5шт.,4
101,Инсти лимон детский 5шт.,4
102,Ацикловир 200мл. 20шт.,4
103,Эргоферон 20шт.,4
104,Эргоферон 20шт.,4
105,Римантадин 20шт.,4
106,Римантадин 20шт.,4
107,Эритромицин 10шт.,4
108,Улкарил 200 25шт.,4
109,Улкарил 400 25шт.,4
110,Эуфиллин 30шт.,4
111,Эуфиллин 30шт.,4
112,Римантадин 20шт.,4
113,Римантадин 20шт.,4
114,Ацикловир 200мл. 20шт.,4
115,Анаферон детский 20шт.,4
116,Анаферон детский 20шт.,4
117,Анаферон взрослый 20шт.,4
118,Анаферон взрослый 20шт.,4
119,Галавит 20шт.,4
120,Либексин 20шт.,4
121,Ликопид 1мг 10шт.,4
122,Гроприносин 20шт.,4
123,Гроприносин 50шт.,4
124,Циклоферон 20шт.,4
125,Римантадин 20шт.,4
126,Римантадин 20шт.,4
127,Корилекс 20шт.,4
128,Коделак бронхо 10шт.,4
129,Бронолак 20шт.,4
130,Бронолак 20шт.,4
131,Фарингомед 20шт.,4
132,Спирт салф 100шт.,4
133,Амброксол 20шт.,4
134,Бромгексин 25шт.,4
135,Бромгексин 25шт.,4
136,Бронхомунал 3.5 10шт.,4
137,Бронхомунал 3.5 10шт.,4
138,Сехродол 20шт.,4
139,Амбро 30мг 20шт.,4
140,Амбросан 20шт.,4
141,Лазолвон 30мг 50шт.,4
