id,name,category_id
1,Прокладки Белла Blue 10шт.,4
2,Прокладки Белла Pink 10шт.,4
3,Прокладки Белла Green 10шт.,4
4,Прокладки Белла Violet 10шт.,4
5,Прокладки Белла Blue 32шт.,4
6,Прокладки Белла Violet 32шт.,4
7,Прокладки Белла Pink 20шт.,4
8,Прокладки Белла Violet 20шт.,4
9,Прокладки Белла Blue Perfecto 20шт.,4
10,Прокладки Белла Green 20шт.,4
11,Прокладки Белла Violet 32шт.,4
12,Прокладки Белла Green 10шт.,4
13,Прокладки Белла Ночь 14шт.,4
14,Прокладки Белла Sensitive 60шт.,4
15,Прокладки Белла Aroma 60шт.,4
16,Прокладки Белла Relax 60шт.,4
17,Прокладки Белла Soft 20шт.,4
18,Прокладки Белла Eleg Sensitive 20шт.,4
19,Прокладки Белла Panty Sensitive 20шт.,4
20,Прокладки Белла Aroma Relax 20шт.,4
21,Прокладки Белла Aroma Fresh 20шт.,4
22,Прокладки Белла Aroma Energy 20шт.,4
23,Прокладки Котекс ежедневные 20шт.,4
24,Прокладки Котекс Deo 20шт.,4
25,Прокладки Котекс Active Deo 48шт.,4
26,Прокладки Котекс Active 48шт.,4
27,Прокладки Котекс Active 16шт.,4
28,Прокладки Котекс Active Deo 16шт.,4
29,Тампоны Ob 8шт.,4
30,Тампоны Ob мини 8шт.,4
31,Тампоны Ob Extra 16шт.,4
32,Тампоны Ob Super 16шт.,4
33,Тампоны Ob Pro Comfort 16шт.,4
34,Хаггис 3 мальчик,4
35,Хаггис 4 мальчик,4
36,Хаггис 3 девочка,4
37,Хаггис 3 девочка,4
38,Салфетки антибактериальные влажные 15шт,4
39,Салфетки Икена влажные 15шт.,4
40,Хаггис 4 мальчик 66шт.,4
41,Хаггис 4 девочка 66шт.,4
42,Подгузники Seni 4 30шт.,4
43,Пеленки Seni 90x60 30шт.,4
44,Подгузники Хаггис 3 девочка 80шт.,4
45,Подгузники Хаггис 3 мальчик 80шт.,4
46,Подгузники Хаггис 5 девочка 56шт.,4
47,Подгузники Seni 3 30шт.,4
48,Подгузники Seni 2 30шт.,4
49,Подгузники Seni 1 30шт.,4
50,Пеленки Икена 60x60,4
51,Салфетки Vok детские 72шт.,4
52,Салфетки Vok взрослые 72шт.,4
53,Ватные диски Белла 100шт.,4
54,Ватные диски Белла Алоэ 100шт.,4
55,Прокладки Bliss 66шт.,4
56,Ушные фитосвечи,4
57,Тонометр Адьютор,4
58,Грелка 3л.,4
59,Лидокаин спрей 10% 38г.,4
60,Димексид 100мл.,4
61,Мираксидин спрей 50мл.,4
62,Бинт эластичный 8x5,4
63,Бинт эластичный 8x5,4
64,Бинт эластичный 100x5,4
65,Бинт эластичный 120x5,4
66,Бинт эластичный 80x2,4
67,Бинт эластичный 1.5x60,4
68,Бинт эластичный 3x80,4
69,Бинт эластичный 0.6x80,4
70,Бинт эластичный 1.5x100,4
71,Бинт эластичный 1x80,4
72,Бинт эластичный 1.5x120,4
73,Бинт эластичный 3x100,4
74,Аспиратор,4
75,Аспиратор Camera,4
76,Ножницы детские Camera,4
77,Ножницы Baby Nova,4
78,Соска бусинка,4
79,Мед 417,4
80,Соска Camera Мод,4
81,Соска Camera Мод,4
82,Бутылка Camera Мод,4
83,Бутылка Camera Мод,4
84,Бутылка Camera Мод,4
85,Бутылка Baby Nova Мод,4
86,Бутылка Baby Land Мод,4
87,Бутылка Baby Land Мод,4
88,Бутылка Baby Land мод. 384,4
89,Крем Джонсонс Беби крем 50гр.,4
90,Тайлол Хот М2,4
91,Ножницы Camera,4
92,Мыло Джонсонс Беби с медом,4
93,Ватные палочки дер,4
94,Ватные палочки Икена 100шт.,4
95,Ватные палочки Икена 200шт.,4
96,Ватные палочки Bella 100шт.,4
97,Беруши,4
98,Суперчистота 3.0,4
99,Присыпка детская 30гр.,4
100,Присыпка детская череда 30гр.,4
101,Присыпка детская календула 30гр.,4
102,Боро+ розовый,4
103,Боро+ зеленый,4
104,Крем Бархатные ручки защитные 30гр.,4
105,Крем Бархатные ручки питательные 30гр.,4
106,Крем Бархатные ручки увлажняющие 30гр.,4
107,Крем Бархатные ручки смягчающие,4
108,Хигеника 60мл.,4
109,Гидротен детский 100мл.,4
110,Мыло Джонсонс Беби какао,4
111,Соска Camera Мод,4
112,Цепочка для сосок Camera,4
113,Цепочка для сосок Camera,4
114,Перметрин 100мл.,4
115,Зинерит 30мл.,4
116,Ополаскиватель Лесной Бальзам природ 400мл.,4
117,Ополаскиватель Лесной Бальзам кора дуба пихта 400мл.,4
118,Протефикс 32шт.,4
119,Протефикс 32шт.,4
120,Зубная паста Лесной Бальзам кора дуба и пихта,4
121,Зубная паста Лесной Бальзам кора дуба и пихта,4
122,"Зубная паста Лесной Бальзам ""2 в 1"" 75мл.",4
123,Зубная паста Лесной Бальзам Форте 75мл.,4
124,Зубная паста Лесной Бальзам Фитобаланс 75мл.,4
125,Зубная паста Лесной Бальзам ромашка облепиха 75мл.,4
126,Зубная паста Природный бальзам крапива 100мл.,4
127,Зубная паста Природный бальзам шалфей 100мл.,4
128,Зубная паста Семейная 100мл.,4
129,Зубная паста Лесной Бальзам биогранул 75мл.,4
130,Зубная паста Швейцария 100мл.,4
131,Зубная паста Сплат Актив 100мл.,4
