id,uniqueid,name,image,category_id
208,4.7E+12,Томатная паста Айлана 900гр (в уп 6шт),https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570034.jpg?alt=media&token=db5e7b49-be04-4e7a-898a-7f0b0b7eb83c,2
2,2.53674E+12,Сельдь советская 350гр,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F2536741947864.jpg?alt=media&token=e39e2e0b-f8fe-4155-aa91-4934cfbe2131,2
3,4.7E+12,Томатная паста Айлана в/с 500гр (В уп 6шт),https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570447.png?alt=media&token=6ebae806-12f5-4e26-ad00-fb6ac74ea74f,2
4,2773143,Огурцы Рава вес,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F2773143.jpg?alt=media&token=2d76e905-db93-42f4-b7e5-3369761a3f06,2
5,4.60707E+12,Кукуруза Bonduelle сладкая 340г ж/б,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4607071100231.jpg?alt=media&token=bba5ad4b-071c-4a69-b171-3c16c37c5117,2
6,4.87E+12,Говядина Кублей тушеная ж/сорт (ж/б) 325г,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930025.png?alt=media&token=afdfcf9f-9ec1-4393-8e28-7449dec8c18f,2
7,4.7E+12,Огурцы маринованные Айлана 900г,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570065.jpg?alt=media&token=b3f9e77a-ad13-49ca-8736-3753247b524c,2
8,4.7E+12,Томатная паста Айлана 250гр (в уп 12шт),https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570393.jpg?alt=media&token=3749dab2-3d08-49ae-9a31-548878b8824a,2
9,3.08368E+12,Горох Bonduelle 400г.,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F3083680048774.jpg?alt=media&token=2b075930-0107-447f-aad0-38d2d9b112d1,2
10,4.87E+12,Говядина Кублей тушеная в/с (ж/б) 240г,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4870004930520.jpg?alt=media&token=e9e57a22-f306-43f6-88d6-db8e500e9229,2
11,4.7E+12,Томатная паста Сары-Озон 950гр (в уп 6шт),https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4700000570249.png?alt=media&token=74d7864d-2ebc-40bf-aa9b-0506bfa4415f,2
12,5.9983E+12,Глобус ширин жугору 400гр / Кукуруза Глобус сладкая 400гр Globus таттуу жугору 425мл ж/б,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F5998304241111.jpg?alt=media&token=6acaec26-7e25-48c2-bd64-719720e5ed49,2
13,4.77019E+12,Сельдь VICI Любо есть филе кусочки в масле с укропом Царская охл.500 г,https://firebasestorage.googleapis.com/v0/b/uigo-2ff4b.appspot.com/o/Sheker%20Products%2F4770190082112.jpg?alt=media&token=52c68812-3abf-4afc-a1e6-1e36b1bcd027,2
