id,costin,costsale,itemglobal_id,storeid_id
1,56,56,1,3
2,112,112,2,3
3,43,43,3,3
4,64,64,4,3
5,86,86,5,3
6,153,153,6,3
7,32,32,7,3
8,56,56,8,3
9,143,143,9,3
10,213,213,10,3
11,29,29,11,3
12,99,99,12,3
13,80,80,13,3
14,78,78,14,3
15,59,59,15,3
16,65,65,16,3
17,230,230,17,3
18,110,110,18,3
19,214,214,19,3
20,126,126,20,3
21,341,341,21,3
22,450,450,22,3
23,312,312,23,3
24,170,170,24,3
25,155,155,25,3
26,120,120,26,3
27,85,85,27,3
28,90,90,28,3
29,95,95,29,3
30,130,130,30,3
31,136,136,31,3
32,210,210,32,3
33,215,215,33,3
34,220,220,34,3
35,310,310,35,3
36,110,110,36,3
37,90,90,37,3
38,80,80,38,3
39,75,75,39,3
40,120,120,40,3
41,130,130,41,3
42,150,150,42,3
43,180,180,43,3
44,135,135,44,3
45,120,120,45,3
46,135,135,46,3
47,115,115,47,3
48,350,350,48,3
49,310,310,49,3
50,260,260,50,3
51,250,250,51,3
52,120,120,52,3
53,310,310,53,3
54,65,65,54,3
55,120,120,55,3
56,90,90,56,3
57,80,80,57,3
58,70,70,58,3
59,75,75,59,3
60,90,90,60,3
61,95,95,61,3
62,120,120,62,3
63,410,410,63,3
64,210,210,64,3
65,250,250,65,3
66,230,230,66,3
67,256,256,67,3
68,255,255,68,3
69,210,210,69,3
70,145,145,70,3
71,165,165,71,3
72,190,190,72,3
73,110,110,73,3
74,120,120,74,3
75,130,130,75,3
76,150,150,76,3
77,400,400,77,3
78,230,230,78,3
79,125,125,79,3
80,120,120,80,3
81,220,220,81,3
82,144,144,82,3
83,166,166,83,3
84,190,190,84,3
85,120,120,85,3
86,240,240,86,3
87,210,210,87,3
88,120,120,88,3
89,210,210,89,3
90,125,125,90,3
91,166,166,91,3
92,130,130,92,3
93,155,155,93,3
94,125,125,94,3
95,230,230,95,3
96,222,222,96,3
97,265,265,97,3
98,277,277,98,3
99,321,321,99,3
100,235,235,100,3
101,216,216,101,3
102,128,128,102,3
103,135,135,103,3
104,129,129,104,3
105,120,120,105,3
106,90,90,106,3
107,95,95,107,3
108,85,85,108,3
109,80,80,109,3
110,87,87,110,3
111,85,85,111,3
112,80,80,112,3
113,76,76,113,3
114,75,75,114,3
115,45,45,115,3
116,120,120,116,3
117,230,230,117,3
118,210,210,118,3
119,245,245,119,3
120,235,235,120,3
121,265,265,121,3
122,215,215,122,3
123,136,136,123,3
124,145,145,124,3
125,125,125,125,3
126,178,178,126,3
127,156,156,127,3
128,120,120,128,3
129,90,90,129,3
130,67,67,130,3
131,230,230,131,3
132,221,221,132,3
133,112,112,133,3
134,132,132,134,3
135,122,122,135,3
136,156,156,136,3
137,160,160,137,3
138,165,165,138,3
139,155,155,139,3
140,140,140,140,3
141,120,120,141,3
142,190,190,142,3
143,180,180,143,3
144,170,170,144,3
145,166,166,145,3
146,165,165,146,3
147,155,155,147,3
148,180,180,148,3
149,160,160,149,3
150,120,120,150,3
151,95,95,151,3
152,98,98,152,3
153,90,90,153,3
154,95,95,154,3
155,120,120,155,3
156,125,125,156,3
157,180,180,157,3
158,210,210,158,3
159,215,215,159,3
160,212,212,160,3
161,125,125,161,3
162,120,120,162,3
163,50,50,163,3
164,90,90,164,3
165,60,60,165,3
166,70,70,166,3
167,25,25,167,3
168,45,45,168,3
169,65,65,169,3
170,79,79,170,3
171,87,87,171,3
172,123,123,172,3
173,236,236,173,3
174,411,411,174,3
175,126,126,175,3
176,345,345,176,3
177,140,140,177,3
178,170,170,178,3
179,175,175,179,3
180,180,180,180,3
181,145,145,181,3
182,126,126,182,3
183,132,132,183,3
184,167,167,184,3
185,245,245,185,3
186,210,210,186,3
187,215,215,187,3
188,216,216,188,3
189,104,104,189,3
190,212,212,190,3
191,101,101,191,3
192,100,100,192,3
193,147,147,193,3
194,116,116,194,3
195,203,203,195,3
196,107,107,196,3
197,109,109,197,3
198,110,110,198,3
199,120,120,199,3
200,230,230,200,3
201,80,80,201,3
202,85,85,202,3
203,69,69,203,3
204,60,60,204,3
205,75,75,205,3
206,45,45,206,3
207,79,79,207,3
